,ID,Investigation_Type,Accident_NO,Date,Country,Injury_Severity,Damage,Reg_Number,Make,Model,Amateur_Built,No_of_Engines,Engine_Type,Schedule,Purpose_of_flight,Major_Injuries,Minor_Injuries,Uninjured,Weather_Condition,Report_Status,Publication_Date,Total_Injuries,Year,Month,State_Abbr,Location_Name,US_State,Abbreviation
0,20061025X01555,Accident,NYC07LA005,1974-08-30,United States,Fatal(3),Destroyed,N5142R,Cessna,172M,No,1.0,Reciprocating,,Personal,0.0,0.0,0.0,IMC,Probable Cause,26-02-2007,0.0,1974,8,VA,Saltville,Virginia,VA
1,20001218X45446,Accident,CHI81LA106,1981-08-01,United States,Fatal(4),Destroyed,N4988E,Cessna,180,No,1.0,Reciprocating,,Personal,0.0,0.0,0.0,IMC,Probable Cause,06-11-2001,0.0,1981,8,MN,COTTON,Minnesota,MN
2,20020917X01656,Accident,ANC82FAG14,1982-01-02,United States,Fatal(3),Destroyed,N7641A,Cessna,180,No,1.0,Reciprocating,,Personal,0.0,0.0,0.0,VMC,Probable Cause,02-01-1983,0.0,1982,1,AK,SKWENTA,Alaska,AK
3,20020917X02481,Accident,NYC82DA016,1982-01-02,United States,Non-Fatal,Substantial,N25084,Cessna,172,No,1.0,Reciprocating,,Personal,0.0,0.0,1.0,VMC,Probable Cause,02-01-1983,0.0,1982,1,PA,GALETON,Pennsylvania,PA
4,20020917X01894,Accident,CHI82FEC08,1982-01-02,United States,Non-Fatal,Substantial,N68812,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,02-01-1983,0.0,1982,1,MI,YPSILANTI,Michigan,MI
5,20020917X01992,Accident,FTW82DA036,1982-01-03,United States,Non-Fatal,Substantial,N71054,Cessna,182,No,1.0,Reciprocating,,Personal,0.0,2.0,0.0,VMC,Probable Cause,03-01-1983,2.0,1982,1,TX,FORT WORTH,Texas,TX
6,20020917X01777,Accident,CHI82DA021,1982-01-06,United States,Non-Fatal,Substantial,N4900L,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,2.0,VMC,Probable Cause,06-01-1983,0.0,1982,1,IL,PAXTON,Illinois,IL
7,20020917X02414,Accident,MIA82FLD14,1982-01-08,United States,Fatal(1),Destroyed,N80264,Cessna,172M,No,1.0,Reciprocating,,Personal,0.0,0.0,0.0,IMC,Probable Cause,08-01-1983,0.0,1982,1,FL,ODESSA,Florida,FL
8,20020917X01881,Accident,CHI82FA024,1982-01-08,United States,Fatal(1),Destroyed,N207CB,Piper,PA-28-140,No,1.0,Reciprocating,,Personal,1.0,0.0,0.0,VMC,Probable Cause,08-01-1983,1.0,1982,1,OH,NEW PHILADELPHI,Ohio,OH
9,20020917X02484,Accident,NYC82DA019,1982-01-08,United States,Non-Fatal,Substantial,N46681,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,08-01-1983,0.0,1982,1,NY,CUTCHOGUE,New York,NY
10,20020917X01779,Accident,CHI82DA023,1982-01-08,United States,Non-Fatal,Substantial,N6265P,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,08-01-1983,0.0,1982,1,IL,PEORIA,Illinois,IL
11,20020917X01778,Accident,CHI82DA022,1982-01-08,United States,Non-Fatal,Substantial,N737LH,Cessna,172N,No,1.0,Reciprocating,,Personal,0.0,0.0,2.0,VMC,Probable Cause,08-01-1983,0.0,1982,1,OH,SANDUSKY,Ohio,OH
12,20020917X01717,Accident,ATL82DLG09,1982-01-08,United States,Non-Fatal,Substantial,N25225,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,08-01-1983,0.0,1982,1,SC,GRANTITEVILLE,South Carolina,SC
13,20020917X01995,Accident,FTW82DA039,1982-01-09,United States,Non-Fatal,Substantial,N7355A,Cessna,172,No,1.0,Reciprocating,,Personal,0.0,0.0,2.0,VMC,Probable Cause,09-01-1983,0.0,1982,1,TX,FRUIT VALE,Texas,TX
14,20020917X02158,Accident,LAX82DA041,1982-01-10,United States,Non-Fatal,Destroyed,N2753J,Cessna,172N,No,1.0,Reciprocating,,Personal,0.0,0.0,4.0,VMC,Probable Cause,10-01-1983,0.0,1982,1,AZ,BULLHEAD CITY,Arizona,AZ
15,20020917X01985,Accident,DEN82FTI10,1982-01-11,United States,Non-Fatal,Destroyed,N7273J,Piper,PA-28-140,No,1.0,Reciprocating,,Personal,1.0,1.0,0.0,VMC,Probable Cause,11-01-1983,2.0,1982,1,MT,NEAR BOZEMAN,Montana,MT
16,20020917X01982,Accident,DEN82FTE16,1982-01-11,United States,Non-Fatal,Substantial,N2332C,Cessna,180,No,1.0,Reciprocating,,Personal,0.0,0.0,1.0,VMC,Probable Cause,11-01-1983,0.0,1982,1,CO,SAQUACHE,Colorado,CO
17,20020917X02395,Accident,MIA82DKJ03,1982-01-15,United States,Non-Fatal,Substantial,N5559T,Cessna,172,No,1.0,Reciprocating,,Personal,0.0,0.0,2.0,VMC,Probable Cause,15-01-1983,0.0,1982,1,FL,MALONE,Florida,FL
18,20020917X02487,Accident,NYC82DA023,1982-01-16,United States,Non-Fatal,Substantial,N704KE,Cessna,150M,No,1.0,Reciprocating,,Personal,0.0,0.0,1.0,VMC,Probable Cause,16-01-1983,0.0,1982,1,VT,SWANTON,Vermont,VT
19,20020917X02321,Accident,LAX82FVG14,1982-01-17,United States,Fatal(1),Destroyed,N63182,Cessna,150M,No,1.0,Reciprocating,,Personal,0.0,0.0,0.0,IMC,Probable Cause,17-01-1983,0.0,1982,1,CA,DAVIS,California,CA
20,20020917X01624,Accident,ANC82DA014,1982-01-17,United States,Non-Fatal,Destroyed,N63516,Cessna,150,No,1.0,Reciprocating,,Instructional,0.0,1.0,1.0,VMC,Probable Cause,17-01-1983,1.0,1982,1,AK,ANCHORAGE,Alaska,AK
21,20020917X02257,Accident,LAX82FA047,1982-01-18,United States,Fatal(1),Destroyed,N5295R,Cessna,172M,No,1.0,Reciprocating,,Personal,0.0,0.0,0.0,IMC,Probable Cause,18-01-1983,0.0,1982,1,CA,DOWNIEVILLE,California,CA
22,20020917X02488,Accident,NYC82DA024,1982-01-19,United States,Non-Fatal,Substantial,N68292,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,19-01-1983,0.0,1982,1,NH,ENFIELD,New Hampshire,NH
23,20020917X01998,Accident,FTW82DA044,1982-01-20,United States,Non-Fatal,Substantial,N5350M,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,20-01-1983,0.0,1982,1,TX,MIDLAND,Texas,TX
24,20020917X02171,Accident,LAX82DA060,1982-01-22,United States,Non-Fatal,Substantial,N13083,Cessna,172M,No,1.0,Reciprocating,,Personal,0.0,0.0,2.0,VMC,Probable Cause,22-01-1983,0.0,1982,1,NV,CARSON CITY,Nevada,NV
25,20020917X02622,Accident,SEA82FYK07,1982-01-23,United States,Fatal(1),Destroyed,N8172B,Cessna,172,No,1.0,Reciprocating,,Personal,1.0,0.0,0.0,IMC,Probable Cause,23-01-1983,1.0,1982,1,OR,LAPINE,Oregon,OR
26,20020917X02400,Accident,MIA82FA038B,1982-01-23,United States,Non-Fatal,Substantial,N45453,Cessna,150M,No,1.0,Reciprocating,,Personal,0.0,0.0,3.0,VMC,Probable Cause,23-01-1983,0.0,1982,1,FL,NEWPORT RICHEY,Florida,FL
27,20020917X02563,Accident,NYC82FNA10,1982-01-24,United States,Non-Fatal,Substantial,N80420,Cessna,172,No,1.0,Reciprocating,,Personal,0.0,2.0,0.0,UNK,Probable Cause,24-01-1983,2.0,1982,1,MA,TAUNTON,Massachusetts,MA
28,20020917X02163,Accident,LAX82DA052,1982-01-24,United States,Non-Fatal,Substantial,N13533,Cessna,172,No,1.0,Reciprocating,,Personal,0.0,0.0,4.0,VMC,Probable Cause,24-01-1983,0.0,1982,1,AZ,FLAGSTAFF,Arizona,AZ
